account,date,closedPnL,size,num_trades,win_rate,long_short_ratio,Classification,frequency_group,profit_label
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-06-12,-175611.00005600002,9.090909090909092,33,0.0,1.0301507537688441,Greed,Frequent,0
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-11,0.0,1.5875706214689265,177,0.0,0.3357142857142857,Extreme Greed,Frequent,0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-01-03,9482.221441,1.318582222222222,45,0.8,1.5,Greed,Frequent,1
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-02,76710.0,60.0,10,0.9,1.7104722792607803,Greed,Infrequent,1
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-02,101011.685664,10.820332538736592,839,0.30512514898688914,0.8457364341085272,Fear,Frequent,1
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-03,533974.662903,14.235897347893914,641,0.8424336973478939,2.582125603864734,Fear,Frequent,1
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-04-02,375620.270243,29.566478342749527,531,0.15630885122410546,0.8343065693430657,Fear,Frequent,1
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-05-02,44400.9058,9.683554285714285,210,0.37142857142857144,1.1313628899835797,Greed,Frequent,1
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-01-12,0.0,0.00736001,1,0.0,0.5274725274725275,Greed,Infrequent,0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-06-12,0.0,110.64617647058823,34,0.0,1.0301507537688441,Greed,Frequent,0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-07-12,3515.031065,144.64051199153843,26,0.9615384615384616,0.5641025641025641,Fear,Frequent,1
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-09-12,0.0,89.33717391304349,46,0.0,5.352941176470588,Fear,Frequent,0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-10-12,2517.787385,64.1886198953125,64,0.984375,0.4967197750702905,Neutral,Frequent,1
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-02,1162.002541,81.11564102564103,78,0.32051282051282054,1.243816254416961,Greed,Frequent,1
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-05,1243.853569,41.99536,250,0.324,1.2587155963302752,Greed,Frequent,1
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-02,6352.452613,1987.2184915087041,517,0.4506769825918762,1.7104722792607803,Greed,Frequent,1
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-03,2480.902379,101.51363636363637,110,0.45454545454545453,2.582125603864734,Fear,Frequent,1
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-04,0.0,4564.05,1,0.0,1.205548549810845,Extreme Fear,Infrequent,0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-03,-3169.3554679999997,110.02307692307693,65,0.0,2.668702290076336,Fear,Frequent,0
0x271b280974205ca63b716753467d5a371de622ab,2024-05-12,208.81746,10.23615,4,0.75,0.7245283018867924,Greed,Infrequent,1
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-01-12,4458.25495,182.78686528497408,193,0.5025906735751295,0.5274725274725275,Greed,Frequent,1
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-02-12,1283.846047,130.4958572857143,140,0.5214285714285715,1.3565217391304347,Greed,Frequent,1
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-03-12,1190.358719,228.30948717948718,78,0.47435897435897434,0.8292682926829268,Extreme Greed,Frequent,1
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-04-12,9066.169646,144.96276785714286,112,0.5357142857142857,0.42857142857142855,Extreme Greed,Frequent,1
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-05-12,14685.787664,92.6308163265306,98,0.4897959183673469,0.7245283018867924,Greed,Frequent,1
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-06-12,389.176232,85.3436231884058,69,0.2318840579710145,1.0301507537688441,Greed,Frequent,1
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-07-12,4008.012049,89.75558139534883,86,0.4186046511627907,0.5641025641025641,Fear,Frequent,1
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-08-12,554.009942,109.05882352941177,102,0.4215686274509804,0.24188790560471976,Fear,Frequent,1
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-09-12,768.430838,236.07873239436623,213,0.5915492957746479,5.352941176470588,Fear,Frequent,1
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-10-12,980.557461,456.31936305732484,157,0.6751592356687898,0.4967197750702905,Neutral,Frequent,1
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-12,1582.001112,124.16052795698926,93,0.34408602150537637,0.16270218839200762,Extreme Greed,Frequent,1
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-12,5806.86932,199.29821639455784,147,0.5578231292517006,0.27843915343915343,Extreme Greed,Frequent,1
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-01,109.82694000000001,405.64313559322034,59,0.3559322033898305,2.3448275862068964,Greed,Frequent,1
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-02,3.536668000000001,264.353137254902,51,0.4117647058823529,1.243816254416961,Greed,Frequent,1
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-03,557.9358,65.10000015216215,37,0.3783783783783784,1.5,Greed,Frequent,1
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-04,768.351892,13527.432682926828,41,0.6585365853658537,0.9108910891089109,Greed,Frequent,1
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-05,16.923621,7.0,2,1.0,1.2587155963302752,Greed,Infrequent,1
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-02-01,416.546688,280.9170766336634,101,0.45544554455445546,0.4196078431372549,Greed,Frequent,1
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-02-02,-1416.906536,861.1982417582417,91,0.054945054945054944,1.7104722792607803,Greed,Frequent,0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-02-03,8330.21747,208.95294520547947,73,0.7671232876712328,1.057915057915058,Fear,Frequent,1
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-02-04,669.381363,13034.532142857142,70,0.6,0.13487881981032665,Greed,Frequent,1
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-03-01,250.581483,434.2310886956522,69,0.5217391304347826,0.4970588235294118,Extreme Fear,Frequent,1
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-03-02,439.634046,108.92393212893333,75,0.6,0.8457364341085272,Fear,Frequent,1
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-03-03,494.669357,133.52586206896552,58,0.3620689655172414,2.582125603864734,Fear,Frequent,1
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-03-04,149.51234499999998,17395.791764705882,85,0.11764705882352941,1.205548549810845,Extreme Fear,Frequent,1
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-04-01,232.66549799999999,154.02253259259257,81,0.49382716049382713,0.25675675675675674,Fear,Frequent,1
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-04-02,1291.500575,133.58954229166667,48,0.3541666666666667,0.8343065693430657,Fear,Frequent,1
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-04-03,163.73415,77.6760465116279,43,0.3023255813953488,2.668702290076336,Fear,Frequent,1
